Name,Rating,Reviews,Raw Content,Price Category
Rumah Makan Selera Indonesia,4.5,1202.0,"Rumah Makan Selera Indonesia Rumah Makan Selera Indonesia 4,5(1.202) · Rp 50–75 rb Prasmanan ·  · Jl. Sultan Agung No.117 Tempat prasmanan luas untuk masakan Jawa Buka · Tutup pukul 17.00   ""Dapat Ayam Gule, Sayur Tahu trus Sambel dan Krupuk sudah nyaman nikmat.""    Pesan online",Rp 50–75 rb
Pelangi Resto Pringgading,4.3,281.0,"Pelangi Resto Pringgading Pelangi Resto Pringgading 4,3(281) · Rp 25–100 rb Masakan Asia · Jl. Pringgading No.55D Buka · Tutup pukul 14.30 · Buka kembali pukul 17.00   ""makanan nya enak2, cenderung manis, agak mahal untuk kelas chinese food.""",Rp 25–100 rb
Kimukatsu The Park Mall Semarang,5.0,4302.0,"Kimukatsu The Park Mall Semarang Kimukatsu The Park Mall Semarang 5,0(4.302) · Rp 50–100 rb Jepang · The Park Mall Semarang, Jl. Madukoro Raya Lt LG Buka · Tutup pukul 22.00   ""Menunyaa enak enak, tempatnya nyaman, service good 👍🏻""    Reservasi tempat  Pesan online",Rp 50–100 rb
Gang Gang Sulai,4.5,1056.0,"Gang Gang Sulai Gang Gang Sulai 4,5(1.056) · Rp 125–250 rb Korea ·  · Jl. Diponegoro No.27 Buka · Tutup pukul 22.00   ""Pilihan daging lengkap dan kualitasnya baik, bumbunya juga enak.""",Rp 125–250 rb
Waroeng Steak Imam Bonjol Semarang,4.5,5793.0,"Waroeng Steak Imam Bonjol Semarang Waroeng Steak Imam Bonjol Semarang 4,5(5.793) · Rp 25–50 rb Steak · Jl. Imam Bonjol No.187b Restoran steak bercita rasa Indonesia Buka · Tutup pukul 22.00   ""Tempat untuk makan ada outdoor dan indoor Mampir karena butuh cemil²""    Pesan online",Rp 25–50 rb
Eastman Coffee House,4.7,4374.0,"Eastman Coffee House Eastman Coffee House 4,7(4.374) · Rp 50–100 rb Restoran ·  · Jl. Ahmad Yani No.140 Buka · Tutup pukul 23.00   ""semua menu enak dan ambience enak.""    Reservasi tempat  Pesan online",Rp 50–100 rb
Restoran Simpang Raya Semarang,4.6,1752.0,"Restoran Simpang Raya Semarang Restoran Simpang Raya Semarang 4,6(1.752) · Rp 25–50 rb Padang · Jl. Ahmad Yani No.165 Buka · Tutup pukul 21.00   ""Tempat bersih, parkir mobil luas, menu masakan padang lengkap.""",Rp 25–50 rb
Happy Resto,4.5,1165.0,"Happy Resto Happy Resto 4,5(1.165) · Rp 25–50 rb Rumah Makan ·  · Jalan Brigadir Jenderal Jl. Mayor Jend. D.I. Panjaitan No.19 Segera tutup · 14.00 · Buka kembali pukul 16.00   ""Tempat bersih oke ac an Makanan enak Owner nya ramah Pelayanan oke""    Pesan online",Rp 25–50 rb
Pepper Lunch DP Mall,4.9,11566.0,"Pepper Lunch DP Mall Pepper Lunch DP Mall 4,9(11.566) · Rp 75–100 rb Jepang ·  · DP Mall Semarang level Lt 2 26, Jl. Pemuda No.150 Buka · Tutup pukul 22.00   ""makanannya enak, pelayanannya bagus, dagingnya fresh dan enakk""    Reservasi tempat  Pesan online",Rp 75–100 rb
Genki Sushi,4.8,1662.0,"Genki Sushi Genki Sushi 4,8(1.662) · Rp 50–150 rb Sushi · Paragon City Mall, Jl. Pemuda No.118 Lt 2 Gerai sushi conveyor belt dari Jepang Buka · Tutup pukul 22.00   ""nyaman, good service, enak makanan minumannya""    Pesan online",Rp 50–150 rb
Sai Ramen Semarang,4.5,1647.0,"Sai Ramen Semarang Sai Ramen Semarang 4,5(1.647) · Rp 50–75 rb Ramen · Jl. Letjen Suprapto No.61 Buka · Tutup pukul 22.00   ""Menu black garlic cukup terasa aroma bawang putihnya.""    Pesan online",Rp 50–75 rb
Kartika Grand Bistro,4.4,74.0,"Kartika Grand Bistro Kartika Grand Bistro 4,4(74) · Rp 25–50 rb Masakan Asia · Jl. Mgr Sugiyopranoto No.1 Buka · Tutup pukul 22.00   ""suasana Enak Live music setiap hari""    Pesan online",Rp 25–50 rb
Wingstop DP Mall Semarang,4.5,114.0,"Wingstop DP Mall Semarang Wingstop DP Mall Semarang 4,5(114) · Rp 25–50 rb Sayap Ayam · DP Mall Semarang Foodcourt, Jl. Pemuda No.150 Lt 2 Buka · Tutup pukul 22.00   ""Cita rasa baru mam crispy fried chicken, ada banyak pilihan bumbu unik.""    Pesan online",Rp 25–50 rb
Janur Sambel Sedeeep,4.6,38.0,"Janur Sambel Sedeeep Janur Sambel Sedeeep 4,6(38) · Rp 1–25.000 Restoran ·  · Jl. Sekayu Raya No.9 Buka · Tutup pukul 16.00   ""Tempat makan enak dan murah""",Rp 1–25.000
